Model,MAE,RMSE,R2,MAPE,Peak_MAE
Naive lag_1,65.08313302217036,85.13710335670143,-0.3292798902400407,121.71922905175134,97.04746355685131
Seasonal naive lag_24,72.8763535589265,95.57861747410546,-0.6753292970273457,148.80194862145427,108.0415743440233
Seasonal naive lag_168,81.75421820303384,105.87129965650193,-1.0555837868225906,161.74485398074253,128.0626530612245
Rolling 24h,48.52022705173084,62.89249434586039,0.2746020339835733,102.2553769774772,83.1194278425656
Rolling 168h,56.86989717036173,74.0686514016008,-0.006114873825106448,123.53680526404807,111.35398965708733
