Model,MAE,RMSE,R2,MAPE,Peak_MAE
Best Baseline (Rolling 24h),48.52022705173084,62.89249434586039,0.2746020339835733,102.2553769774772,83.1194278425656
XGBoost basic,49.69385802983403,64.23664004560649,0.24326411657602254,106.30252964288911,83.32441145071135
XGBoost + Weather,54.59484941395746,69.44864667798068,0.11548282714279734,126.26730270489163,71.03073234046514
XGBoost + Weather + Optuna,48.32430533960514,62.448055661792985,0.28481806361316064,104.42134979918549,88.10813357606226
